City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Djibo,BF,14.1022,-1.6306,91.85,40,59,10.09,broken clouds
240,Portland,US,45.5234,-122.6762,60.62,84,75,4.61,broken clouds
241,Mayo,US,38.8876,-76.5119,82.13,61,0,6.91,clear sky
242,Ugoofaaru,MV,5.6667,73.0,81.77,73,30,8.46,scattered clouds
243,Port Hardy,CA,50.6996,-127.4199,51.8,93,75,3.44,mist
244,Abu Dhabi,AE,24.4667,54.3667,93.31,56,0,6.91,clear sky
245,Altay,CN,47.8667,88.1167,46.09,36,0,4.36,clear sky
246,Wilmington,US,34.2257,-77.9447,81.86,68,0,5.75,clear sky
247,Sol-Iletsk,RU,51.1631,54.9918,60.49,87,100,11.68,light rain
248,Mednogorsk,RU,51.4128,57.595,59.36,82,100,5.97,overcast clouds
249,Leh,IN,34.1667,77.5833,57.2,32,12,6.46,few clouds
250,Rocha,UY,-34.4833,-54.3333,69.49,51,96,15.77,overcast clouds
251,Tashtyp,RU,52.7939,89.8983,38.55,87,20,2.19,few clouds
252,Nowa Deba,PL,50.4297,21.7508,57.94,62,100,5.75,overcast clouds
253,Basoda,IN,23.85,77.9333,75.47,88,84,6.78,broken clouds
254,Kota Kinabalu,MY,5.9749,116.0724,78.78,83,20,5.01,moderate rain
255,Haimen,CN,23.1935,116.6142,78.69,86,84,6.8,broken clouds
256,Hami,CN,42.8,93.45,68.63,16,52,2.82,broken clouds
257,Zhigansk,RU,66.7697,123.3711,29.84,88,89,10.25,overcast clouds
258,Aksu,CN,41.1231,80.2644,75.63,27,100,6.08,overcast clouds
259,Kendari,ID,-3.945,122.4989,76.26,90,100,0.92,overcast clouds
260,Tocopilla,CL,-22.092,-70.1979,64.83,57,7,5.32,clear sky
261,Sola,VU,-13.8833,167.55,80.87,74,18,20.13,few clouds
262,Lokosovo,RU,61.1333,74.8167,48.02,79,98,8.25,overcast clouds
263,Hithadhoo,MV,-0.6,73.0833,82.22,70,10,7.94,clear sky
264,Dingle,PH,10.9995,122.6711,75.67,89,90,5.21,overcast clouds
265,Henderson,US,36.0397,-114.9819,85.37,25,0,3.44,clear sky
266,Flin Flon,CA,54.7682,-101.865,51.64,82,75,4.61,broken clouds
267,Banfora,BF,10.6333,-4.7667,81.16,77,95,3.91,overcast clouds
268,Brae,GB,60.3964,-1.353,48.58,69,98,17.36,overcast clouds
269,Namibe,AO,-15.1961,12.1522,66.92,85,20,10.67,few clouds
270,Doha,QA,25.2867,51.5333,93.18,38,0,14.97,clear sky
271,Gazojak,TM,41.1875,61.4036,73.9,20,60,10.47,broken clouds
272,Ikom,NG,5.9667,8.7063,75.2,95,61,3.87,moderate rain
